Timestamp,Device Name,MessageType,Data
2025-09-03 13:01:09.745499,room0 Video Switcher,Command,"UpdateVideoMuteDecoder,{'ID': '1'}"
2025-09-03 13:01:10.599695,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:01:10.599695,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:01:10.599695,room0 Video Conferencer,Command,'UpdateRegistration,None'
2025-09-03 13:01:10.599695,room0 Video Conferencer,API,To Device,'callstate get\r'
2025-09-03 13:01:10.600372,room0 Video Conferencer,Command,'UpdateMeetingStatus,None'
2025-09-03 13:01:10.600372,room0 Video Conferencer,Command,'UpdateCalendarStatus,None'
2025-09-03 13:01:10.600372,room0 Video Conferencer,API,To Device,'calendarstatus get\r'
2025-09-03 13:01:10.754361,room0 Video Switcher,API,To Device,'w3cv\r\n'
2025-09-03 13:01:10.754361,room0 Video Switcher,API,To Device,'{1o:B\r}\r'
2025-09-03 13:01:11.330027,room0 Display12,Command,'Connect'
2025-09-03 13:01:11.841047,room0 Display13,Command,'Connect'
2025-09-03 13:01:11.965531,room0 Display3,Command,'Connect'
2025-09-03 13:01:12.011947,room0 Display2,Command,'Connect'
2025-09-03 13:01:12.164967,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:01:12.365266,room0 Display5,Command,'Connect'
2025-09-03 13:01:12.443165,room0 Display13,Command,'Connect'
2025-09-03 13:01:12.444160,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:01:12.517615,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:01:12.610415,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:01:12.610415,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:01:12.766288,room0 Display1,Command,'Connect'
2025-09-03 13:01:12.869416,room0 Display3,Command,'Connect'
2025-09-03 13:01:12.885399,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:01:12.948912,room0 Display8,Command,'Connect'
2025-09-03 13:01:12.992932,room0 Display4,Command,'Connect'
2025-09-03 13:01:13.730091,room0 Display1,Command,'Connect'
2025-09-03 13:01:13.776285,room0 Display7,Command,'Connect'
2025-09-03 13:01:13.870233,room0 Display5,Command,'Connect'
2025-09-03 13:01:13.900644,room0 Display6,Command,'Connect'
2025-09-03 13:01:13.993842,room0 Display4,Command,'Connect'
2025-09-03 13:01:13.993842,room0 Display14,Command,'Connect'
2025-09-03 13:01:14.025182,room0 Display2,Command,'Connect'
2025-09-03 13:01:14.025182,room0 Display11,Command,'Connect'
2025-09-03 13:01:14.072306,room0 Display8,Command,'Connect'
2025-09-03 13:01:14.118525,room0 Display9,Command,'Connect'
2025-09-03 13:01:14.288812,room0 Display10,Command,'Connect'
2025-09-03 13:01:14.397899,room0 Display10,Command,'Connect'
2025-09-03 13:01:14.443939,Annotator,Command,'Connect'
2025-09-03 13:01:14.490533,room0 Display7,Command,'Connect'
2025-09-03 13:01:14.553090,room0 Display9,Command,'Connect'
2025-09-03 13:01:14.630594,room0 Audio DSP,Command,'Connect'
2025-09-03 13:01:14.740549,room0 Display12,Command,'Connect'
2025-09-03 13:01:14.816418,room0 Display6,Command,'Connect'
2025-09-03 13:01:14.877938,room0 Display11,Command,'Connect'
2025-09-03 13:01:15.015609,room0 Display14,Command,'Connect'
2025-09-03 13:01:15.062019,room0 ULX Mic2,Command,'Connect'
2025-09-03 13:01:15.108339,room0 ULX Mic1,Command,'Connect'
